[*] EdgeShield Sensor Simulator started
[*] Sending telemetry every 5 seconds...
[+] iot/gateway/sensor-01/telemetry -> value=23.73 rssi=-87 fcnt=1
[*] MQTT connected
[+] iot/gateway/sensor-02/telemetry -> value=53.53 rssi=-63 fcnt=1
[+] iot/gateway/sensor-03/telemetry -> value=1012.9 rssi=-72 fcnt=1
[+] iot/gateway/sensor-01/telemetry -> value=20.74 rssi=-85 fcnt=2
[+] iot/gateway/sensor-02/telemetry -> value=53.64 rssi=-83 fcnt=2
[+] iot/gateway/sensor-03/telemetry -> value=1015.38 rssi=-90 fcnt=2
[+] iot/gateway/sensor-01/telemetry -> value=20.41 rssi=-85 fcnt=3
[+] iot/gateway/sensor-02/telemetry -> value=52.16 rssi=-86 fcnt=3
[+] iot/gateway/sensor-03/telemetry -> value=1013.7 rssi=-88 fcnt=3
[+] iot/gateway/sensor-01/telemetry -> value=23.51 rssi=-84 fcnt=4
[+] iot/gateway/sensor-02/telemetry -> value=55.91 rssi=-91 fcnt=4
[+] iot/gateway/sensor-03/telemetry -> value=1015.17 rssi=-80 fcnt=4
[+] iot/gateway/sensor-01/telemetry -> value=22.69 rssi=-76 fcnt=5
[+] iot/gateway/sensor-02/telemetry -> value=55.54 rssi=-76 fcnt=5
[+] iot/gateway/sensor-03/telemetry -> value=1014.03 rssi=-86 fcnt=5
[+] iot/gateway/sensor-01/telemetry -> value=21.48 rssi=-76 fcnt=6
[+] iot/gateway/sensor-02/telemetry -> value=52.83 rssi=-90 fcnt=6
[+] iot/gateway/sensor-03/telemetry -> value=1012.01 rssi=-79 fcnt=6
[+] iot/gateway/sensor-01/telemetry -> value=22.66 rssi=-83 fcnt=7
[+] iot/gateway/sensor-02/telemetry -> value=56.43 rssi=-79 fcnt=7
[+] iot/gateway/sensor-03/telemetry -> value=1012.12 rssi=-77 fcnt=7
[+] iot/gateway/sensor-01/telemetry -> value=23.76 rssi=-81 fcnt=8
[+] iot/gateway/sensor-02/telemetry -> value=54.1 rssi=-77 fcnt=8
[+] iot/gateway/sensor-03/telemetry -> value=1011.3 rssi=-68 fcnt=8
[+] iot/gateway/sensor-01/telemetry -> value=23.18 rssi=-89 fcnt=9
[+] iot/gateway/sensor-02/telemetry -> value=52.47 rssi=-82 fcnt=9
[+] iot/gateway/sensor-03/telemetry -> value=1013.41 rssi=-66 fcnt=9
[+] iot/gateway/sensor-01/telemetry -> value=22.68 rssi=-86 fcnt=10
[+] iot/gateway/sensor-02/telemetry -> value=57.42 rssi=-63 fcnt=10
[+] iot/gateway/sensor-03/telemetry -> value=1015.8 rssi=-66 fcnt=10
[+] iot/gateway/sensor-01/telemetry -> value=23.41 rssi=-66 fcnt=11
[+] iot/gateway/sensor-02/telemetry -> value=48.79 rssi=-68 fcnt=11
[+] iot/gateway/sensor-03/telemetry -> value=1010.66 rssi=-62 fcnt=11
[+] iot/gateway/sensor-01/telemetry -> value=22.73 rssi=-69 fcnt=12
[+] iot/gateway/sensor-02/telemetry -> value=47.0 rssi=-78 fcnt=12
[+] iot/gateway/sensor-03/telemetry -> value=1012.79 rssi=-65 fcnt=12
[+] iot/gateway/sensor-01/telemetry -> value=23.49 rssi=-74 fcnt=13
[+] iot/gateway/sensor-02/telemetry -> value=50.01 rssi=-86 fcnt=13
[+] iot/gateway/sensor-03/telemetry -> value=1017.09 rssi=-74 fcnt=13
[+] iot/gateway/sensor-01/telemetry -> value=22.92 rssi=-88 fcnt=14
[+] iot/gateway/sensor-02/telemetry -> value=53.96 rssi=-71 fcnt=14
[+] iot/gateway/sensor-03/telemetry -> value=1012.66 rssi=-95 fcnt=14
[+] iot/gateway/sensor-01/telemetry -> value=24.54 rssi=-67 fcnt=15
[+] iot/gateway/sensor-02/telemetry -> value=52.68 rssi=-67 fcnt=15
[+] iot/gateway/sensor-03/telemetry -> value=1015.38 rssi=-67 fcnt=15
[+] iot/gateway/sensor-01/telemetry -> value=22.15 rssi=-72 fcnt=16
[+] iot/gateway/sensor-02/telemetry -> value=52.54 rssi=-88 fcnt=16
[+] iot/gateway/sensor-03/telemetry -> value=1010.4 rssi=-75 fcnt=16
[+] iot/gateway/sensor-01/telemetry -> value=22.66 rssi=-75 fcnt=17
[+] iot/gateway/sensor-02/telemetry -> value=51.76 rssi=-92 fcnt=17
[+] iot/gateway/sensor-03/telemetry -> value=1014.84 rssi=-87 fcnt=17
[+] iot/gateway/sensor-01/telemetry -> value=23.65 rssi=-94 fcnt=18
[+] iot/gateway/sensor-02/telemetry -> value=58.85 rssi=-63 fcnt=18
[+] iot/gateway/sensor-03/telemetry -> value=1011.16 rssi=-95 fcnt=18
[+] iot/gateway/sensor-01/telemetry -> value=20.35 rssi=-60 fcnt=19
[+] iot/gateway/sensor-02/telemetry -> value=60.1 rssi=-76 fcnt=19
[+] iot/gateway/sensor-03/telemetry -> value=1013.64 rssi=-67 fcnt=19
[+] iot/gateway/sensor-01/telemetry -> value=22.78 rssi=-80 fcnt=20
[+] iot/gateway/sensor-02/telemetry -> value=51.16 rssi=-81 fcnt=20
[+] iot/gateway/sensor-03/telemetry -> value=1009.58 rssi=-61 fcnt=20
[+] iot/gateway/sensor-01/telemetry -> value=23.23 rssi=-87 fcnt=21
[+] iot/gateway/sensor-02/telemetry -> value=55.08 rssi=-74 fcnt=21
[+] iot/gateway/sensor-03/telemetry -> value=1012.14 rssi=-70 fcnt=21
[+] iot/gateway/sensor-01/telemetry -> value=22.63 rssi=-93 fcnt=22
